id;descricao
1;Cru(a)
2;Cozido(a)
3;Grelhado(a)/brasa/churrasco
4;Assado(a)
5;Frito(a)
6;Empanado(a)/ˆ milanesa
7;Refogado(a)
8;Molho vermelho
9;Molho branco
10;Ao alho e —leo
11;Com manteiga/—leo
12;Ao vinagrete
13;Ensopado
14;Mingau
15;Sopa
99;N‹o se aplica
